City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Accident ID,State Name
"Unknown",2019,"September","Thursday",1899-12-30 11:47:00.000,"Minor",3,"Two-Wheeler",4,2,"Stormy","National Highway","Wet","Dark","Police Checkpost",82,54,"Male","Valid","No","Straight Road",770,"Mizoram"
"Unknown",2023,"February","Saturday",1899-12-30 23:48:00.000,"Minor",3,"Two-Wheeler",6,5,"Stormy","Village Road","Under Construction","Dusk","Police Checkpost",55,68,"Female","Valid","No","Bridge",817,"Puducherry"
"Unknown",2022,"October","Monday",1899-12-30 11:32:00.000,"Minor",5,"Two-Wheeler",2,0,"Stormy","Urban Road","Under Construction","Daylight","Police Checkpost",76,31,"Female","Valid","Yes","Curve",882,"Meghalaya"
"Unknown",2022,"February","Monday",1899-12-30 04:41:00.000,"Minor",1,"Cycle",8,0,"Stormy","Urban Road","Damaged","Daylight","Signals",57,54,"Male","Valid","Yes","Intersection",906,"Nagaland"
"Unknown",2021,"July","Sunday",1899-12-30 03:29:00.000,"Minor",1,"Car",6,1,"Stormy","Urban Road","Damaged","Daylight","None",63,27,"Male","Valid","Yes","Intersection",1087,"Chandigarh"
"Unknown",2020,"August","Thursday",1899-12-30 21:45:00.000,"Minor",3,"Bus",5,4,"Stormy","State Highway","Dry","Dark","Police Checkpost",77,35,"Female","Valid","No","Intersection",1096,"Haryana"
"Unknown",2019,"November","Thursday",1899-12-30 20:46:00.000,"Minor",1,"Truck",2,5,"Stormy","Village Road","Dry","Dusk","Signs",93,60,"Female","Valid","No","Curve",1166,"Sikkim"
"Unknown",2019,"April","Tuesday",1899-12-30 15:18:00.000,"Minor",4,"Car",8,2,"Stormy","Village Road","Damaged","Dark","None",104,27,"Male","Valid","Yes","Intersection",1170,"Goa"
"Unknown",2018,"August","Wednesday",1899-12-30 05:02:00.000,"Minor",5,"Truck",4,3,"Stormy","Village Road","Damaged","Dusk","None",69,54,"Female","Valid","Yes","Intersection",1212,"Mizoram"
"Unknown",2019,"March","Sunday",1899-12-30 09:39:00.000,"Minor",3,"Pedestrian",3,0,"Stormy","Village Road","Dry","Dawn","Signs",90,48,"Female","Valid","No","Curve",1337,"Haryana"
"Unknown",2018,"August","Friday",1899-12-30 19:58:00.000,"Minor",1,"Bus",10,2,"Stormy","State Highway","Dry","Dusk","Police Checkpost",120,29,"Female","Valid","Yes","Bridge",1358,"Uttarakhand"
"Unknown",2022,"May","Sunday",1899-12-30 07:15:00.000,"Minor",2,"Pedestrian",1,3,"Stormy","State Highway","Dry","Dark","Signs",73,28,"Female","Valid","Yes","Bridge",1366,"Chandigarh"
"Unknown",2021,"August","Thursday",1899-12-30 13:19:00.000,"Minor",4,"Cycle",7,0,"Stormy","Village Road","Dry","Daylight","Signals",103,40,"Female","Valid","No","Straight Road",1374,"Nagaland"
"Unknown",2020,"December","Wednesday",1899-12-30 22:13:00.000,"Minor",2,"Car",0,2,"Stormy","State Highway","Wet","Dawn","Signs",105,40,"Male","Valid","No","Curve",1387,"Himachal Pradesh"
"Unknown",2020,"March","Tuesday",1899-12-30 08:57:00.000,"Minor",2,"Two-Wheeler",0,0,"Stormy","State Highway","Dry","Daylight","None",39,28,"Male","Valid","No","Intersection",1461,"Meghalaya"
"Unknown",2022,"January","Sunday",1899-12-30 22:08:00.000,"Minor",3,"Auto-Rickshaw",4,0,"Stormy","Urban Road","Dry","Dawn","Signals",64,27,"Female","Valid","Yes","Bridge",1481,"Telangana"
"Unknown",2021,"January","Sunday",1899-12-30 07:47:00.000,"Minor",5,"Two-Wheeler",8,4,"Stormy","State Highway","Wet","Daylight","Signs",71,39,"Male","Valid","No","Straight Road",1484,"Jharkhand"
"Unknown",2021,"October","Thursday",1899-12-30 06:56:00.000,"Minor",1,"Pedestrian",5,5,"Stormy","National Highway","Dry","Daylight","Signs",93,47,"Female","Valid","No","Intersection",1532,"Jammu and Kashmir"
"Unknown",2022,"May","Thursday",1899-12-30 11:16:00.000,"Minor",1,"Two-Wheeler",7,1,"Stormy","National Highway","Damaged","Dark","Signs",66,33,"Female","Valid","Yes","Curve",1556,"Sikkim"
"Unknown",2023,"October","Thursday",1899-12-30 05:08:00.000,"Minor",3,"Bus",2,1,"Stormy","National Highway","Damaged","Daylight","Police Checkpost",119,35,"Female","Valid","No","Bridge",1569,"Puducherry"
"Unknown",2019,"April","Saturday",1899-12-30 00:14:00.000,"Minor",4,"Cycle",8,1,"Stormy","Urban Road","Damaged","Dusk","Police Checkpost",95,26,"Female","Valid","No","Intersection",1596,"Telangana"
"Unknown",2020,"November","Wednesday",1899-12-30 17:25:00.000,"Minor",1,"Two-Wheeler",7,3,"Stormy","State Highway","Under Construction","Dusk","Police Checkpost",55,36,"Female","Valid","No","Intersection",1710,"Goa"
"Unknown",2023,"October","Wednesday",1899-12-30 19:24:00.000,"Minor",1,"Auto-Rickshaw",0,1,"Stormy","State Highway","Under Construction","Dark","Police Checkpost",75,50,"Female","Valid","Yes","Bridge",1763,"Goa"
"Unknown",2021,"July","Tuesday",1899-12-30 16:37:00.000,"Minor",1,"Cycle",10,2,"Stormy","National Highway","Wet","Daylight","Signs",101,45,"Male","Valid","Yes","Straight Road",1879,"Manipur"
"Unknown",2018,"December","Thursday",1899-12-30 22:33:00.000,"Minor",1,"Bus",10,0,"Stormy","State Highway","Wet","Daylight","Signs",51,59,"Male","Valid","No","Curve",1888,"Odisha"
"Unknown",2022,"May","Tuesday",1899-12-30 01:19:00.000,"Minor",1,"Truck",2,3,"Stormy","Village Road","Under Construction","Dawn","None",54,55,"Female","Valid","No","Intersection",1906,"Assam"
"Unknown",2020,"January","Monday",1899-12-30 12:52:00.000,"Minor",5,"Auto-Rickshaw",10,1,"Stormy","State Highway","Damaged","Dusk","Signals",100,66,"Female","Valid","No","Intersection",1908,"Chandigarh"
"Unknown",2023,"April","Thursday",1899-12-30 04:03:00.000,"Minor",3,"Car",2,1,"Stormy","Urban Road","Dry","Daylight","None",63,60,"Male","Valid","No","Straight Road",1911,"Manipur"
"Unknown",2020,"October","Wednesday",1899-12-30 04:01:00.000,"Minor",3,"Car",0,1,"Stormy","Urban Road","Under Construction","Dawn","Signals",98,66,"Female","Valid","Yes","Bridge",1964,"Manipur"
"Unknown",2019,"June","Wednesday",1899-12-30 21:12:00.000,"Minor",5,"Auto-Rickshaw",1,4,"Stormy","National Highway","Under Construction","Dark","Police Checkpost",115,48,"Female","Valid","Yes","Curve",1977,"Uttarakhand"
"Unknown",2021,"March","Tuesday",1899-12-30 14:20:00.000,"Minor",3,"Truck",7,0,"Stormy","State Highway","Dry","Dusk","Signs",84,40,"Male","Valid","No","Curve",2027,"Haryana"
"Unknown",2018,"March","Monday",1899-12-30 21:10:00.000,"Minor",2,"Two-Wheeler",3,0,"Stormy","State Highway","Damaged","Dawn","None",72,59,"Female","Valid","Yes","Curve",2065,"Chhattisgarh"
"Unknown",2021,"April","Saturday",1899-12-30 15:14:00.000,"Minor",2,"Truck",7,0,"Stormy","Village Road","Wet","Dark","Signs",39,21,"Female","Valid","Yes","Curve",2087,"Uttarakhand"
"Unknown",2020,"July","Friday",1899-12-30 02:46:00.000,"Minor",3,"Two-Wheeler",10,0,"Stormy","Urban Road","Wet","Dusk","None",114,60,"Female","Valid","Yes","Intersection",2189,"Jammu and Kashmir"
"Unknown",2018,"January","Tuesday",1899-12-30 05:18:00.000,"Minor",3,"Two-Wheeler",2,3,"Stormy","State Highway","Damaged","Dark","Signs",68,26,"Female","Valid","No","Straight Road",2241,"Kerala"
"Unknown",2022,"November","Friday",1899-12-30 20:50:00.000,"Minor",1,"Truck",3,0,"Stormy","State Highway","Dry","Dark","Signs",111,18,"Female","Valid","Yes","Bridge",2285,"Assam"
"Unknown",2022,"August","Sunday",1899-12-30 18:05:00.000,"Minor",3,"Auto-Rickshaw",6,4,"Stormy","State Highway","Under Construction","Dusk","Police Checkpost",105,22,"Male","Valid","Yes","Straight Road",2302,"Jharkhand"
"Unknown",2021,"June","Friday",1899-12-30 04:08:00.000,"Minor",3,"Auto-Rickshaw",0,4,"Stormy","National Highway","Damaged","Dusk","Police Checkpost",97,21,"Male","Valid","Yes","Bridge",2308,"Telangana"
"Unknown",2019,"May","Sunday",1899-12-30 23:37:00.000,"Minor",5,"Car",9,3,"Stormy","National Highway","Dry","Daylight","None",56,18,"Male","Valid","No","Curve",2313,"Telangana"
"Unknown",2020,"June","Saturday",1899-12-30 03:47:00.000,"Minor",1,"Truck",7,3,"Stormy","Urban Road","Dry","Dawn","Signals",37,24,"Female","Valid","No","Bridge",2528,"Nagaland"
"Unknown",2022,"December","Friday",1899-12-30 16:11:00.000,"Minor",5,"Truck",3,4,"Stormy","Urban Road","Damaged","Dusk","None",67,34,"Female","Valid","Yes","Straight Road",2552,"Uttarakhand"
"Unknown",2021,"June","Tuesday",1899-12-30 08:07:00.000,"Minor",4,"Two-Wheeler",4,3,"Stormy","National Highway","Wet","Dusk","Signals",87,50,"Female","Valid","No","Curve",2578,"Assam"
"Unknown",2021,"February","Monday",1899-12-30 20:05:00.000,"Minor",5,"Truck",5,4,"Stormy","Village Road","Dry","Dark","Signs",113,57,"Male","Valid","Yes","Straight Road",2637,"Odisha"
"Unknown",2019,"November","Wednesday",1899-12-30 21:54:00.000,"Minor",4,"Bus",0,1,"Stormy","State Highway","Dry","Dark","None",92,64,"Male","Valid","Yes","Bridge",2646,"Tripura"
"Unknown",2022,"July","Friday",1899-12-30 08:10:00.000,"Minor",3,"Car",7,1,"Stormy","Urban Road","Dry","Daylight","Police Checkpost",42,24,"Female","Valid","No","Bridge",2673,"Goa"
"Unknown",2022,"July","Friday",1899-12-30 07:03:00.000,"Minor",5,"Truck",9,3,"Stormy","National Highway","Damaged","Dusk","None",59,23,"Female","Valid","Yes","Straight Road",2687,"Goa"
"Unknown",2021,"January","Tuesday",1899-12-30 15:03:00.000,"Minor",4,"Bus",2,3,"Stormy","State Highway","Under Construction","Dusk","Signs",98,58,"Male","Valid","No","Bridge",2719,"Madhya Pradesh"
"Unknown",2019,"November","Friday",1899-12-30 04:19:00.000,"Minor",5,"Bus",8,2,"Stormy","National Highway","Under Construction","Dusk","Signs",64,41,"Male","Valid","Yes","Straight Road",2720,"Chhattisgarh"
"Unknown",2020,"October","Saturday",1899-12-30 23:27:00.000,"Minor",4,"Pedestrian",7,0,"Stormy","Urban Road","Under Construction","Dawn","Police Checkpost",45,38,"Male","Valid","No","Bridge",2723,"Manipur"
"Unknown",2022,"August","Saturday",1899-12-30 14:36:00.000,"Minor",3,"Auto-Rickshaw",8,5,"Stormy","Village Road","Damaged","Dark","Signals",82,58,"Female","Valid","No","Curve",2748,"Puducherry"
"Unknown",2018,"November","Friday",1899-12-30 14:04:00.000,"Minor",5,"Bus",6,0,"Stormy","National Highway","Wet","Dark","Signals",44,70,"Male","Valid","No","Curve",2788,"Puducherry"
"Unknown",2021,"May","Thursday",1899-12-30 00:14:00.000,"Minor",1,"Two-Wheeler",8,2,"Stormy","National Highway","Damaged","Dawn","Signals",51,69,"Male","Valid","Yes","Straight Road",2844,"Goa"
"Unknown",2022,"December","Wednesday",1899-12-30 11:40:00.000,"Minor",3,"Truck",1,5,"Clear","State Highway","Damaged","Dark","Police Checkpost",62,42,"Female","Valid","No","Curve",8,"Himachal Pradesh"
"Unknown",2018,"June","Saturday",1899-12-30 17:43:00.000,"Minor",5,"Truck",5,3,"Foggy","Urban Road","Under Construction","Dusk","Police Checkpost",32,65,"Male","Valid","No","Intersection",39,"Nagaland"
"Unknown",2018,"October","Saturday",1899-12-30 10:06:00.000,"Minor",1,"Cycle",6,3,"Foggy","Village Road","Damaged","Dawn","None",85,55,"Male","Valid","No","Intersection",64,"Himachal Pradesh"
"Unknown",2020,"May","Sunday",1899-12-30 08:53:00.000,"Minor",5,"Two-Wheeler",10,1,"Hazy","Urban Road","Wet","Daylight","Signals",33,24,"Female","Valid","Yes","Bridge",85,"Manipur"
"Unknown",2020,"May","Sunday",1899-12-30 17:09:00.000,"Minor",2,"Bus",10,0,"Rainy","National Highway","Under Construction","Dark","None",61,47,"Female","Valid","No","Bridge",122,"Chandigarh"
"Unknown",2019,"May","Friday",1899-12-30 00:21:00.000,"Minor",4,"Auto-Rickshaw",0,2,"Foggy","Village Road","Dry","Dusk","Police Checkpost",56,61,"Female","Valid","No","Intersection",142,"Chhattisgarh"
"Unknown",2019,"December","Wednesday",1899-12-30 15:21:00.000,"Minor",1,"Bus",3,1,"Hazy","National Highway","Dry","Dark","Signals",73,53,"Male","Valid","No","Curve",164,"Puducherry"
"Unknown",2019,"August","Saturday",1899-12-30 12:46:00.000,"Minor",5,"Two-Wheeler",1,3,"Hazy","Village Road","Dry","Dusk","Signals",31,43,"Male","Valid","No","Bridge",166,"Madhya Pradesh"
"Unknown",2023,"December","Friday",1899-12-30 05:36:00.000,"Minor",3,"Auto-Rickshaw",3,1,"Clear","Village Road","Under Construction","Dark","Signals",78,63,"Male","Valid","Yes","Curve",170,"Himachal Pradesh"
"Unknown",2018,"June","Monday",1899-12-30 00:54:00.000,"Minor",4,"Car",1,3,"Hazy","Village Road","Wet","Dark","Signals",106,45,"Female","Valid","Yes","Intersection",198,"Punjab"
"Unknown",2020,"November","Monday",1899-12-30 03:03:00.000,"Minor",4,"Bus",5,0,"Rainy","National Highway","Damaged","Daylight","Police Checkpost",32,60,"Female","Valid","Yes","Intersection",202,"Himachal Pradesh"
"Unknown",2021,"January","Wednesday",1899-12-30 14:19:00.000,"Minor",1,"Two-Wheeler",2,1,"Foggy","State Highway","Dry","Daylight","Signals",38,69,"Female","Valid","No","Intersection",219,"Nagaland"
"Unknown",2019,"June","Wednesday",1899-12-30 09:33:00.000,"Minor",2,"Truck",8,0,"Hazy","Urban Road","Damaged","Dawn","Signs",30,20,"Male","Valid","Yes","Straight Road",223,"Telangana"
"Unknown",2021,"May","Friday",1899-12-30 11:16:00.000,"Minor",1,"Pedestrian",10,3,"Rainy","National Highway","Wet","Daylight","Signals",97,45,"Male","Valid","No","Bridge",228,"Goa"
"Unknown",2022,"August","Monday",1899-12-30 20:07:00.000,"Minor",2,"Bus",3,1,"Foggy","Urban Road","Under Construction","Dusk","None",101,49,"Female","Valid","Yes","Curve",343,"Chandigarh"
"Unknown",2021,"May","Sunday",1899-12-30 00:22:00.000,"Minor",1,"Cycle",0,2,"Foggy","State Highway","Damaged","Dark","None",112,37,"Female","Valid","No","Intersection",351,"Meghalaya"
"Unknown",2018,"August","Sunday",1899-12-30 10:45:00.000,"Minor",4,"Auto-Rickshaw",3,0,"Foggy","National Highway","Damaged","Dark","Police Checkpost",88,69,"Female","Valid","Yes","Intersection",377,"Puducherry"
"Unknown",2023,"July","Wednesday",1899-12-30 10:24:00.000,"Minor",1,"Two-Wheeler",7,1,"Foggy","Urban Road","Damaged","Dusk","Signals",32,19,"Female","Valid","No","Curve",379,"Uttarakhand"
"Unknown",2023,"December","Wednesday",1899-12-30 10:34:00.000,"Minor",2,"Two-Wheeler",9,5,"Rainy","Village Road","Damaged","Dark","Signs",102,45,"Female","Valid","Yes","Curve",382,"Arunachal Pradesh"
"Unknown",2023,"March","Saturday",1899-12-30 01:12:00.000,"Minor",4,"Truck",6,2,"Clear","National Highway","Wet","Dusk","Signs",65,40,"Female","Valid","Yes","Curve",389,"Goa"
"Unknown",2018,"July","Friday",1899-12-30 06:57:00.000,"Minor",1,"Bus",2,5,"Clear","Village Road","Under Construction","Dusk","Police Checkpost",69,31,"Female","Valid","No","Bridge",398,"Meghalaya"
"Unknown",2019,"September","Monday",1899-12-30 18:32:00.000,"Minor",5,"Bus",8,2,"Foggy","National Highway","Under Construction","Dusk","None",58,19,"Female","Valid","No","Straight Road",424,"Meghalaya"
"Unknown",2020,"December","Thursday",1899-12-30 13:03:00.000,"Minor",2,"Car",10,4,"Foggy","National Highway","Damaged","Dark","Signs",112,37,"Female","Valid","No","Curve",431,"Jharkhand"
"Unknown",2020,"April","Tuesday",1899-12-30 09:16:00.000,"Minor",4,"Auto-Rickshaw",2,1,"Rainy","State Highway","Damaged","Dark","Signals",59,52,"Male","Valid","Yes","Intersection",435,"Madhya Pradesh"
"Unknown",2021,"October","Friday",1899-12-30 22:19:00.000,"Minor",2,"Truck",9,2,"Clear","National Highway","Wet","Dusk","None",92,67,"Female","Valid","No","Straight Road",448,"Manipur"
"Unknown",2021,"May","Sunday",1899-12-30 03:16:00.000,"Minor",3,"Car",5,0,"Clear","State Highway","Dry","Dawn","Signs",72,43,"Male","Valid","No","Curve",450,"Haryana"
"Unknown",2020,"September","Thursday",1899-12-30 10:46:00.000,"Minor",5,"Pedestrian",10,2,"Clear","State Highway","Wet","Dusk","Signals",111,36,"Male","Valid","No","Bridge",469,"Jammu and Kashmir"
"Unknown",2019,"June","Friday",1899-12-30 09:07:00.000,"Minor",3,"Truck",8,2,"Clear","Urban Road","Damaged","Dark","Signs",74,64,"Female","Valid","Yes","Intersection",478,"Assam"
"Unknown",2020,"August","Sunday",1899-12-30 04:35:00.000,"Minor",2,"Bus",10,1,"Clear","State Highway","Dry","Dawn","Signs",53,57,"Male","Valid","No","Bridge",490,"Uttarakhand"
"Unknown",2019,"January","Saturday",1899-12-30 00:13:00.000,"Minor",4,"Truck",5,1,"Hazy","State Highway","Damaged","Dusk","None",90,34,"Female","Valid","Yes","Bridge",511,"Chandigarh"
"Unknown",2022,"June","Sunday",1899-12-30 21:55:00.000,"Minor",5,"Two-Wheeler",9,2,"Hazy","State Highway","Damaged","Dawn","None",75,21,"Male","Valid","Yes","Curve",518,"Meghalaya"
"Unknown",2023,"June","Monday",1899-12-30 07:57:00.000,"Minor",4,"Car",2,2,"Clear","Village Road","Under Construction","Dusk","Signals",93,57,"Male","Valid","No","Curve",528,"Sikkim"
"Unknown",2023,"November","Wednesday",1899-12-30 02:57:00.000,"Minor",2,"Cycle",0,1,"Clear","State Highway","Under Construction","Daylight","Signs",110,66,"Female","Valid","Yes","Curve",545,"Odisha"
"Unknown",2018,"December","Friday",1899-12-30 03:06:00.000,"Minor",1,"Two-Wheeler",1,0,"Rainy","Village Road","Damaged","Dark","Signals",84,26,"Male","Valid","Yes","Bridge",565,"Uttarakhand"
"Unknown",2020,"May","Wednesday",1899-12-30 09:22:00.000,"Minor",4,"Two-Wheeler",1,3,"Rainy","State Highway","Wet","Dark","None",77,22,"Male","Valid","Yes","Bridge",587,"Sikkim"
"Unknown",2020,"November","Saturday",1899-12-30 00:37:00.000,"Minor",1,"Pedestrian",5,4,"Foggy","Urban Road","Under Construction","Dawn","Signals",106,61,"Female","Valid","Yes","Bridge",590,"Nagaland"
"Unknown",2018,"February","Thursday",1899-12-30 11:02:00.000,"Minor",1,"Car",0,2,"Rainy","State Highway","Dry","Daylight","None",105,33,"Male","Valid","Yes","Bridge",602,"Odisha"
"Unknown",2020,"October","Sunday",1899-12-30 00:43:00.000,"Minor",5,"Pedestrian",7,5,"Rainy","State Highway","Dry","Daylight","Signals",87,27,"Male","Valid","Yes","Bridge",608,"Haryana"
"Unknown",2022,"July","Thursday",1899-12-30 04:53:00.000,"Minor",4,"Car",8,1,"Rainy","State Highway","Wet","Daylight","None",48,40,"Female","Valid","Yes","Intersection",616,"Sikkim"
"Unknown",2021,"December","Friday",1899-12-30 21:47:00.000,"Minor",2,"Truck",4,4,"Clear","Village Road","Under Construction","Dusk","Police Checkpost",75,56,"Male","Valid","Yes","Curve",621,"Mizoram"
"Unknown",2022,"October","Friday",1899-12-30 15:25:00.000,"Minor",3,"Two-Wheeler",10,0,"Clear","National Highway","Under Construction","Daylight","Police Checkpost",45,48,"Female","Valid","Yes","Curve",639,"Telangana"
"Unknown",2023,"June","Wednesday",1899-12-30 14:23:00.000,"Minor",1,"Truck",1,1,"Rainy","Village Road","Wet","Dusk","None",75,62,"Male","Valid","No","Bridge",653,"Puducherry"
"Unknown",2023,"March","Sunday",1899-12-30 14:30:00.000,"Minor",2,"Bus",0,0,"Clear","Urban Road","Damaged","Dusk","Signs",108,45,"Male","Valid","No","Bridge",657,"Telangana"
"Unknown",2022,"July","Tuesday",1899-12-30 13:50:00.000,"Minor",3,"Auto-Rickshaw",5,5,"Rainy","Village Road","Dry","Dusk","Signs",73,51,"Female","Valid","No","Curve",667,"Punjab"
"Unknown",2020,"June","Thursday",1899-12-30 09:33:00.000,"Minor",2,"Two-Wheeler",1,3,"Hazy","State Highway","Wet","Daylight","Signals",33,44,"Female","Valid","Yes","Straight Road",672,"Chandigarh"
"Unknown",2022,"April","Wednesday",1899-12-30 03:05:00.000,"Minor",5,"Car",5,3,"Foggy","Village Road","Wet","Dark","Police Checkpost",116,44,"Male","Valid","Yes","Curve",679,"Puducherry"
"Unknown",2021,"August","Friday",1899-12-30 08:52:00.000,"Minor",2,"Bus",0,3,"Rainy","Urban Road","Wet","Dark","Signs",32,43,"Female","Valid","Yes","Bridge",686,"Nagaland"
"Unknown",2018,"December","Monday",1899-12-30 04:38:00.000,"Minor",2,"Truck",1,0,"Hazy","Urban Road","Under Construction","Daylight","Signals",67,70,"Female","Valid","No","Intersection",700,"Goa"
"Unknown",2020,"September","Tuesday",1899-12-30 03:54:00.000,"Minor",3,"Pedestrian",0,4,"Hazy","Urban Road","Wet","Dusk","Signs",69,29,"Female","Valid","Yes","Curve",703,"Odisha"
"Unknown",2023,"June","Monday",1899-12-30 18:51:00.000,"Minor",5,"Auto-Rickshaw",5,1,"Clear","Village Road","Under Construction","Dawn","Signals",113,53,"Female","Valid","Yes","Bridge",714,"Kerala"
"Unknown",2022,"May","Thursday",1899-12-30 05:22:00.000,"Minor",1,"Auto-Rickshaw",3,3,"Rainy","Urban Road","Under Construction","Daylight","Signs",83,70,"Male","Valid","No","Straight Road",727,"Chandigarh"
"Unknown",2021,"June","Thursday",1899-12-30 09:35:00.000,"Minor",4,"Two-Wheeler",3,0,"Clear","Village Road","Damaged","Dusk","Police Checkpost",119,66,"Male","Valid","Yes","Straight Road",729,"Uttarakhand"
"Unknown",2022,"October","Sunday",1899-12-30 10:04:00.000,"Minor",3,"Bus",1,0,"Hazy","National Highway","Dry","Dusk","Signs",55,51,"Male","Valid","No","Bridge",730,"Punjab"
"Unknown",2021,"March","Tuesday",1899-12-30 20:13:00.000,"Minor",1,"Truck",9,3,"Rainy","Village Road","Damaged","Dark","Police Checkpost",96,28,"Male","Valid","Yes","Straight Road",750,"Himachal Pradesh"
"Unknown",2018,"February","Saturday",1899-12-30 06:48:00.000,"Minor",1,"Truck",5,0,"Hazy","National Highway","Wet","Dusk","Signals",67,25,"Male","Valid","Yes","Straight Road",760,"Jharkhand"
"Unknown",2018,"June","Wednesday",1899-12-30 14:45:00.000,"Minor",4,"Auto-Rickshaw",8,1,"Clear","State Highway","Damaged","Daylight","None",35,42,"Female","Valid","No","Bridge",784,"Jharkhand"
"Unknown",2022,"March","Sunday",1899-12-30 13:41:00.000,"Minor",4,"Car",9,1,"Rainy","State Highway","Wet","Dawn","Police Checkpost",53,61,"Female","Valid","No","Intersection",786,"Sikkim"
"Unknown",2023,"August","Saturday",1899-12-30 06:12:00.000,"Minor",2,"Two-Wheeler",2,3,"Foggy","National Highway","Dry","Daylight","Signs",49,64,"Female","Valid","No","Bridge",792,"Himachal Pradesh"
"Unknown",2018,"August","Thursday",1899-12-30 11:19:00.000,"Minor",4,"Cycle",0,4,"Hazy","Urban Road","Dry","Daylight","Signals",46,63,"Female","Valid","Yes","Bridge",815,"Madhya Pradesh"
"Unknown",2020,"July","Friday",1899-12-30 13:31:00.000,"Minor",4,"Car",8,2,"Clear","Urban Road","Damaged","Dawn","Signals",110,70,"Male","Valid","No","Intersection",827,"Arunachal Pradesh"
"Unknown",2021,"March","Thursday",1899-12-30 11:52:00.000,"Minor",5,"Two-Wheeler",2,5,"Hazy","State Highway","Damaged","Dusk","Signs",30,27,"Female","Valid","Yes","Curve",839,"Puducherry"
